filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev
180.png	218	49	41.2183	129	44.0265	29	74.4359
1800.png	219	77	46.7871	165	69.7807	24	35.1025
1806.png	220	76	46.643	167	69.2335	24	32.9187
1818.png	221	67	50.357	167	67.3856	20	47.374
182.png	222	59	38.3097	119	45.5247	28	72.2377
1820.png	223	72	47.2934	166	73.4332	23	40.9908
1822.png	224	70	46.8796	168	72.729	23	38.0743
1825.png	225	70	46.8522	168	71.8589	23	41.373
1831.png	226	65	48.7296	170	72.3843	21	46.6229
1835.png	227	63	48.5539	168	72.4342	21	49.1265
1837.png	228	59	49.1198	167	71.414	20	53.1133
1840.png	229	61	48.8543	166	72.1114	20	57.7395
1845.png	230	65	45.508	170	61.5455	21	17.8552
1847.png	231	65	45.7945	168	61.3886	21	16.3491
1850.png	232	66	45.8383	168	61.2409	21	16.3994
1851.png	233	65	45.6407	170	61.0335	21	16.4371
1855.png	234	66	45.6381	167	60.9561	21	18.5775
1859.png	235	69	46.9026	164	59.3579	21	22.4488
186.png	236	58	37.2302	120	47.3748	29	69.4053
1862.png	237	69	46.292	164	58.2269	21	17.6907
1863.png	238	84	42.5589	157	59.1368	22	27.0728
1864.png	239	84	42.1585	158	59.3536	22	27.0779
1867.png	240	83	42.1611	161	59.4548	22	26.2935
1869.png	241	82	42.0062	162	59.3937	21	26.7405
1873.png	242	67	47.9747	168	63.0468	20	20.0148
1876.png	243	60	46.3798	176	62.8216	19	19.7515
1877.png	244	63	46.6031	170	62.3263	19	17.5521
1879.png	245	66	47.1643	167	63.271	21	15.8747
188.png	246	60	38.0458	121	40.7039	28	71.6537
1882.png	247	81	44.1264	156	60.6183	21	24.1207
1884.png	248	81	43.9531	155	60.3659	21	26.6102
1886.png	249	76	45.6782	155	57.0566	21	25.3338
1889.png	250	74	49.8623	157	62.0776	21	20.6179
1891.png	251	70	49.2458	162	63.3558	20	22.5451
1894.png	252	66	48.6143	166	64.5659	19	22.6058
1897.png	253	61	48.0646	171	64.5674	18	23.0049
1899.png	254	65	41.4805	164	60.5833	20	16.1708
190.png	255	69	36.0511	118	39.0216	27	66.2519
1903.png	256	87	42.7881	151	57.608	20	28.965
1905.png	257	86	41.5301	157	55.9185	20	27.6768
1908.png	258	77	42.9102	158	57.791	20	21.631
1910.png	259	80	42.7516	155	56.3161	20	18.4327
1913.png	260	62	45.0242	170	61.2385	19	21.1977
1917.png	261	82	42.065	158	59.9359	21	26.4304
1919.png	262	81	42.466	159	60.2211	21	27.1727
192.png	263	69	36.3904	117	36.716	27	67.0636
1923.png	264	73	48.4247	159	62.6629	20	20.1994
1930.png	265	11	29.8699	229	44.0521	150	51.745
1932.png	266	11	29.9041	229	44.9128	141	51.5738
1939.png	267	10	24.2332	198	59.8745	138	55.7425
1942.png	268	10	23.082	198	61.8581	138	58.3645
1943.png	269	10	22.057	198	60.565	148	57.0695
1946.png	270	10	22.1529	223	59.5177	170	55.0133
195.png	271	70	37.0633	118	36.4906	26	66.4181
1952.png	272	10	22.8317	208	60.3632	170	55.4342
1959.png	273	15	23.2455	119	65.4015	229	79.0668
1961.png	274	15	23.1424	119	66.6149	229	79.2473
1963.png	275	15	17.0076	119	61.0584	229	80.1719
1967.png	276	15	17.0112	119	59.583	229	71.4125
1972.png	277	15	13.7527	119	57.951	229	71.0711
1975.png	278	15	13.4783	119	58.926	229	72.6019
198.png	279	70	37.4788	118	38.2535	27	64.7567
1981.png	280	15	18.4819	119	59.9706	229	68.9781
1983.png	281	15	19.9802	119	61.2414	229	70.8612
1985.png	282	15	20.1853	119	60.7073	229	69.7149
1989.png	283	9	23.9603	223	52.3907	184	57.4378
1991.png	284	9	22.8289	223	50.7776	191	55.6177
1999.png	285	15	20.5595	119	67.1776	226	70.6257
202.png	286	70	37.5332	119	36.9054	27	64.0584
205.png	287	72	37.4569	118	36.5105	26	64.6262
208.png	288	70	37.3737	118	40.6709	27	63.4013
210.png	289	72	37.6403	118	43.3434	27	61.6505
2100.png	290	73	50.2251	128	83.8316	19	58.743
2103.png	291	80	50.5769	132	80.9706	19	54.3788
2105.png	292	61	50.7296	127	83.7001	18	72.5365
2109.png	293	98	51.3878	126	85.6001	18	49.0839
2116.png	294	88	49.1652	118	78.5963	19	62.0325
213.png	295	59	41.0042	127	39.476	29	71.741
214.png	296	60	41.1863	127	39.242	29	71.5665
